법인명,사업자번호,사업자번호(필터링X),기업고유번호
정한이엔씨,514-81-*****,,
제이씨유통,123-81-*****,,
제이앤에이치홀딩스,114-86-*****,,
제이앤푸드,210-81-*****,210-81-40379,01211108
제이에스프로페셔널,210-81-*****,,
제이에스홀딩스,314-86-*****,,
제일상사,128-87-*****,,
제주건국내츄럴,616-81-*****,,
존,204-86-*****,,
주은약품,204-86-*****,,
주은투,376-86-*****,,
준형농수산,125-86-*****,,
중부화스너,125-81-*****,,
중앙이앤씨,128-81-*****,,
중앙피엔엘,105-86-*****,,
중외종합건설,607-81-*****,,
지성일렉트릭,305-81-*****,,
지에이테크,621-81-*****,621-81-65605,01075506
지오,823-81-*****,,
지투비통상,211-88-*****,,
진성실업,874-88-*****,,
진성이알브이,137-81-*****,,
진성퍼니처,410-86-*****,410-86-27608,01288058
진영도서,105-81-*****,,
진영물류,110-86-*****,,
진영산업개발,301-81-*****,,
진영종합상사,502-86-*****,,
진주물류,132-81-*****,,
진현건설,505-81-*****,,
참존글로벌워크,204-81-*****,204-81-43726,00623944
창건기업,502-86-*****,,
창영물산,407-88-*****,,
창원옵텍,609-81-*****,609-81-60935,00536550
창원컴텍,609-81-*****,609-81-82185,00819532
창일비앤비,396-87-*****,,
청계팜,314-86-*****,,
청목E&C,607-81-*****,,
청솔바이오텍,113-81-*****,,
청우,506-81-*****,,
청우기연,109-81-*****,,
청운,210-81-*****,,
청운소재,109-81-*****,,
청운지류유통,202-81-*****,,
청풍,504-81-*****,504-81-56214,00456245
청학식품,506-81-*****,,
초록푸드시스템,204-86-*****,,
초지,141-81-*****,,
초코텍,126-81-*****,,
추진전기,416-81-*****,,
친구마트,489-88-*****,,
캐로스,126-86-*****,126-86-19014,01018167
컴브릿지보영,825-87-*****,,
케이시피월드,109-86-*****,,
케이씨씨태산,314-81-*****,,
케이에프티오성,514-81-*****,,
케이엠피이,505-81-*****,,
케이와이스틸,610-86-*****,,
케이투넷,117-81-*****,117-81-34210,01097526
코마코,104-81-*****,104-81-26636,00436092
코맥이엔씨,125-81-*****,,
코미스,124-81-*****,,
코스,408-81-*****,,
코스,515-81-*****,,
코텍에너지,113-81-*****,,
코펙스,121-81-*****,121-81-78895,01016488
태극엔터프라이즈,610-81-*****,610-81-60920,01026032
태승종합유통,132-81-*****,,
태일벽지상사,602-81-*****,,
태일전기,127-86-*****,127-86-09014,01025158
태창관동,403-81-*****,,
태한건설,502-81-*****,,
토경기업,607-86-*****,,
톱크라스상사,106-81-*****,,
통일기업,111-88-*****,,
통일기획,573-86-*****,,
통합티엔에스,605-86-*****,,
투비원,359-87-*****,,
툴뱅크,606-86-*****,,
튜너웍스코리아,124-86-*****,124-86-56992,00641700
트라이온코리아,114-81-*****,,
티엔에스산업개발,128-81-*****,128-81-71821,01020764
파인비,125-86-*****,,
팔도강산통일,207-81-*****,,
팜스마트,137-86-*****,,
패널뱅크,302-81-*****,,
팬코리아중공업,608-81-*****,608-81-69777,00761174
퍼모스트통상,105-86-*****,,
퍼펙트,128-81-*****,128-81-37876,00507266
펭귄지와이,128-86-*****,,
평화텔레콤,110-81-*****,,
포그린,513-81-*****,,
푸른건업,132-81-*****,,
풍덕코퍼레이션,135-81-*****,,
풍진섬유,117-81-*****,,
프라임코리아,215-87-*****,,
프룩스,568-81-*****,,
프리머에코마루,140-81-*****,,
플레넷아이엔티,214-87-*****,,
피에스실버레인,109-86-*****,,
피에스케미칼,121-81-*****,,
피엘벨류,552-86-*****,,
피엠엠,829-81-*****,,
피크닉물류,101-86-*****,,
하나로산업,107-88-*****,,
하나로푸드,514-81-*****,,
하나에스앤피,312-86-*****,,
하나인베스트큐,108-86-*****,,
하워드픽스,113-86-*****,,
한강유통,645-87-*****,,
한경아이넷,314-86-*****,,
한국샤프,505-81-*****,,
한국샤프트,613-81-*****,,
한국푸드상사,706-88-*****,,
한남상사,502-86-*****,,
한독음향,119-81-*****,,
한려엔쵸비,603-81-*****,603-81-56388,00654458
한성,404-81-*****,,
한솔엔지니어링,410-81-*****,,
