사업자번호,법인명,성명,주소,당좌거래 정지일
204-86-*****,신안생소협물류,,서울송파구송파대로,20171101
439-87-*****,신안엠디,,경기부천시부천로,20170530
109-86-*****,신영다우리,,서울양천구지양로,20170303
108-81-*****,신영에프앤씨,,서울구로구디지털로,20170418
426-81-*****,신우실업,,서울종로구대학로,20170619
108-81-*****,신일일렉탑,,경기고양시덕양구무원로,20171117
131-81-*****,신진하이텍,,인천남동구남동동로,20170510
606-81-*****,신한티엠에이,,부산강서구과학산단2로3번길,20161208
127-81-*****,신흥안전유리,,경기포천시내촌면매봉1길,20170118
608-81-*****,신흥파이프,,경남함안군칠원읍갈티길,20160927
121-86-*****,신흥하모니,,인천중구서해대로,20180409
201-81-*****,심우기획,,서울중구퇴계로,20160809
106-87-*****,써치인프라,,대전동구산내로,20171211
132-81-*****,쎄븐,,경기남양주시진건읍진관로173번길,20161229
107-81-*****,쏘시에떼렌,,서울송파구올림픽로,20161207
131-81-*****,씨앤씨,,경기안산시상록구해안로,20170118
137-81-*****,씨에이케미칼,,세종전의면읍내황골1길,20180608
132-86-*****,아름드리,,경기남양주시경춘로,20170201
137-86-*****,아름오션,,경기남양주시진건읍사릉로,20170201
121-81-*****,아산개발,,인천중구축항대로,20170329
409-86-*****,아성펠리체,,광주서구상무평화로,20170324
125-86-*****,아세아에프에이,,경기평택시청북면광승길,20160902
107-86-*****,아이엠파마,,서울강동구올림픽로,20170802
603-81-*****,아이온에프앤지,,부산사상구강변대로,20170112
114-81-*****,아이원에스앤디,,서울강남구논현로,20180503
514-81-*****,아이지에스피,,대구달성군유가면테크노순환로,20180322
132-86-*****,아이탑유통,,인천남구매소홀로,20170309
140-81-*****,아이피엠,,경기시흥시협력로,20160919
201-81-*****,아트서비스,,서울강남구도산대로37길,20180604
605-86-*****,알천푸드,,부산강서구낙동북로,20170707
503-81-*****,알파텍스타일,,대구달서구성서공단로,20170118
130-81-*****,앙상블,,인천서구마중로,20180619
204-86-*****,앤드로,,경기화성시팔탄면시청로,20180201
409-81-*****,양성건설,,광주북구서방로,20180720
137-81-*****,양지산업,,인천서구건지로,20170210
210-81-*****,에그린유통,,경기김포시통진읍율마로,20160920
505-81-*****,에나인더스트리,,경북경산시진량읍공단1로,20180713
621-81-*****,에너지테크,,부산기장군정관면정관상곡2길,20180517
124-86-*****,에너텍린나이,,경기수원시팔달구정조로,20170118
136-81-*****,에센트테크,,서울금천구가산디지털1로,20180418
134-81-*****,에스씨전자,,경기안산시단원구범지기로,20160803
410-86-*****,에스엠에이,,광주광산구평동로,20180305
613-88-*****,에스엠이엔지,,경기시흥시엠티브이27로,20171103
605-81-*****,에어로시스템,,부산부산진구전포대로,20161111
689-81-*****,에이미세븐,,서울양천구등촌로,20170412
606-86-*****,에이앤에스,,경남양산시주남마을길,20161006
410-86-*****,에이원파트너스,,광주남구서문대로,20170913
142-81-*****,에이치에스포장산업,,경기용인시처인구이동면백옥대로,20171012
214-87-*****,에이톰코리아,,서울강동구양재대로,20160902
418-81-*****,에이플러스종합건설,,전북전주완산구평화18길,20170102
108-81-*****,에코로바,,서울동작구보라매로,20161226
617-81-*****,에코젠,,부산해운대구해운대로,20161214
131-81-*****,엔티에스,,인천남동구남동대로,20170404
126-81-*****,엘림무역,,경기하남시서하남로,20170628
605-81-*****,엘케이이노베이션,,부산강서구화전산단5로,20171122
409-86-*****,엘플러스,,광주광산구진곡산단2번로,20161005
231-81-*****,엠에스코리아2,,서울송파구백제고분로,20180202
828-87-*****,엠투케이,,경기부천시부천로,20170316
125-81-*****,엠피텍솔루션,,충남아산시둔포면아산밸리북로,20170608
401-81-*****,여정,,전북군산시진포로,20170915
126-86-*****,영광전기,,경기용인시처인구이동면남북대로,20171012
501-81-*****,영구산업,,충남아산시영인면신봉길,20170316
508-81-*****,영남기공,,서울강동구양재대로,20171101
501-81-*****,영남소프트,,대구동구첨단로,20180112
621-81-*****,영남약품,,부산금정구구금샘로,20161202
615-81-*****,영산산업기계,,경남김해시진례면고모로,20171220
615-81-*****,영산중공업,,경남김해시진례면고모로,20171220
